2022-02-18T16-04-21,96819,Kaiser Foundation Hospital,02/16/2022 12:00:00 AM,,54,,
2022-03-03T09-56-49,96819,Kaiser Foundation Hospital,02/16/2022 12:00:00 AM,02/19/2022 12:00:00 AM,54,,
2022-03-03T09-56-49,96819,Pharmacare LTC,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,6,,
2022-03-03T10-04-44,96819,Pharmacare LTC,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,6,,
2022-03-03T10-04-44,96819,Kaiser Foundation Hospital,02/16/2022 12:00:00 AM,02/19/2022 12:00:00 AM,54,,
2022-03-08T14-40-56,96819,Kaiser Foundation Hospital,02/16/2022 12:00:00 AM,02/19/2022 12:00:00 AM,54,,
2022-03-08T14-40-56,96819,Pharmacare LTC,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,6,,
2022-03-16T18-51-35,96819,KAISER FOUNDATION HOSPITAL,99,POINT (-157.900297 21.362447),,120011,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,96819,PHARMERICA - HONOLULU 964,39,POINT (-157.917412 21.336366),,7db4a8d2-7c9f-4458-ad0e-844e755b3fae,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,96819,Kokua Kalihi Valley Comprehensive Family Services,13,POINT (-157.87412 21.340507),,eb32db00-c546-4bad-a9c3-f6ee63511d0a,03/09/2022 12:00:00 AM
