2022-02-18T16-04-21,30165,FLOYD MEDICAL CENTER,02/16/2022 12:00:00 AM,,60,,
2022-02-18T16-04-21,30165,REDMOND REGIONAL MEDICAL CENTER,02/16/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,30165,FLOYD MEDICAL CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,108,,
2022-03-03T09-56-49,30165,REDMOND REGIONAL MEDICAL CENTER,02/16/2022 12:00:00 AM,02/22/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,30165,FLOYD MEDICAL CENTER,03/02/2022 12:00:00 AM,02/25/2022 12:00:00 AM,132,,
2022-03-03T10-04-44,30165,REDMOND REGIONAL MEDICAL CENTER,02/16/2022 12:00:00 AM,02/22/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,30165,FLOYD MEDICAL CENTER,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,132,,
2022-03-08T14-40-56,30165,REDMOND REGIONAL MEDICAL CENTER,02/16/2022 12:00:00 AM,02/22/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,30165,AdventHealth Redmond,63,POINT (-85.242287 34.2918),,4e943bdb43992e08f9b3bf541181786f8d25480e44b9767a45509f86eb26e1ce,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,30165,ADVENTHEALTH REDMOND,64,POINT (-85.194131 34.278191),,110168,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,30165,Atrium Health Floyd,222,POINT (-85.242287 34.2918),,9fc353db7d9e5207706f2f94dc8f834eb8a8ffadfbdc63ec258a9d28df8ba9bc,03/09/2022 12:00:00 AM
