2022-02-18T16-04-21,64108,Truman Medical Center Hospital Hill,02/16/2022 12:00:00 AM,,6,,
2022-02-18T16-04-21,64108-4619,CHILDRENS MERCY HOSPITAL - GILLHAM,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,64108-4619,CHILDRENS MERCY HOSPITAL - GILLHAM,02/28/2022 12:00:00 AM,02/18/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,64108,Truman Medical Center Hospital Hill,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,54,,
2022-03-03T10-04-44,64108,Truman Medical Center Hospital Hill,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,54,,
2022-03-03T10-04-44,64108-4619,CHILDRENS MERCY HOSPITAL - GILLHAM,02/28/2022 12:00:00 AM,02/18/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,64108,Truman Medical Center Hospital Hill,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,54,,
2022-03-08T14-40-56,64108-4619,CHILDRENS MERCY HOSPITAL - GILLHAM,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,64108,CHILDRENS MERCY HOSPITAL,5,POINT (-94.578593 39.082706),,263302,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,64108,UNIVERSITY HEALTH TRUMAN MEDICAL CENTER,50,POINT (-94.575784 39.085151),,260048,03/09/2022 12:00:00 AM
