2022-02-18T16-04-21,36608,GACEK EAR AND SINUS CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-02-18T16-04-21,36608-3709,PROVIDENCE HOSPITAL,02/16/2022 12:00:00 AM,,12,,
2022-02-18T16-04-21,36608-1787,ALABAMA MEDICAL GROUP,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,36608-3709,PROVIDENCE HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-03T09-56-49,36608-1787,ALABAMA MEDICAL GROUP,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,36608,GACEK EAR AND SINUS CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T10-04-44,36608,GACEK EAR AND SINUS CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T10-04-44,36608-3709,PROVIDENCE HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-03T10-04-44,36608-1787,ALABAMA MEDICAL GROUP,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-08T14-40-56,36608,GACEK EAR AND SINUS CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-08T14-40-56,36608-1787,ALABAMA MEDICAL GROUP,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,36608-3709,PROVIDENCE HOSPITAL,03/07/2022 12:00:00 AM,03/04/2022 12:00:00 AM,90,,
2022-03-16T18-51-35,36608,"Alabama Medical Group, P.C.",11,POINT (-88.130758 30.683078),,7c7c4a71-3205-4c13-a6fd-d7d12b1beec1,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,36608,PROVIDENCE HOSPITAL,31,POINT (-88.198327 30.681693),,10090,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,36608,Gacek Ear And Sinus Center,5,POINT (-88.13104 30.684685),,060d03b0-76bc-4aa2-a5b9-01b179ea672e,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,36608,SPRINGHILL MEMORIAL HOSPITAL,6,POINT (-88.13181 30.685891),,10144,03/09/2022 12:00:00 AM
