2022-02-18T16-04-21,62301,BLESSING HOSPITAL,02/17/2022 12:00:00 AM,,50,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,62301-4038,QUINCY MEDICAL GROUP,02/23/2022 12:00:00 AM,,15,,02/22/2022 12:00:00 AM
2022-03-03T09-56-49,62301,BLESSING HOSPITAL,02/17/2022 12:00:00 AM,,50,50,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,62301,BLESSING HOSPITAL,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,50,50,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,62301-4038,QUINCY MEDICAL GROUP,02/23/2022 12:00:00 AM,03/01/2022 12:00:00 AM,15,15,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,62301,BLESSING HOSPITAL,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,50,50,03/08/2022 12:00:00 AM
2022-03-08T14-40-56,62301-4038,QUINCY MEDICAL GROUP,02/23/2022 12:00:00 AM,03/01/2022 12:00:00 AM,15,15,03/02/2022 12:00:00 AM
2022-03-16T18-51-35,62301,BLESSING HOSPITAL,50,POINT (-91.399886 39.935649),1912034638,2.78564858004152E38,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,62301,ILLINOIS VETERANS HOME QUINCY,14,,,2.86603107253931E38,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,62301,QUINCY MEDICAL GROUP,15,POINT (-91.399014 39.93186),1548234198,2.7857368417797E38,03/10/2022 12:00:00 AM
