2022-02-18T16-04-21,36608,GACEK EAR AND SINUS CENTER,02/15/2022 12:00:00 AM,,5,5,02/18/2022 12:00:00 AM
2022-02-18T16-04-21,36608-3709,PROVIDENCE HOSPITAL,02/17/2022 12:00:00 AM,,60,,
2022-03-03T09-56-49,36608-3709,PROVIDENCE HOSPITAL,02/22/2022 12:00:00 AM,,65,62,02/28/2022 12:00:00 AM
2022-03-03T09-56-49,36608,GACEK EAR AND SINUS CENTER,02/15/2022 12:00:00 AM,,5,4,02/28/2022 12:00:00 AM
2022-03-03T09-56-49,36608-1787,ALABAMA MEDICAL GROUP,02/21/2022 12:00:00 AM,,5,,
2022-03-03T10-04-44,36608-3709,PROVIDENCE HOSPITAL,03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,115,62,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,36608,GACEK EAR AND SINUS CENTER,03/01/2022 12:00:00 AM,02/17/2022 12:00:00 AM,10,4,03/02/2022 12:00:00 AM
2022-03-03T10-04-44,36608-1787,ALABAMA MEDICAL GROUP,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,36608-3709,PROVIDENCE HOSPITAL,03/07/2022 12:00:00 AM,03/03/2022 12:00:00 AM,165,62,02/28/2022 12:00:00 AM
2022-03-08T14-40-56,36608-1787,ALABAMA MEDICAL GROUP,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,36608,GACEK EAR AND SINUS CENTER,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,10,9,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,36608,PROVIDENCE HOSPITAL,160,POINT (-88.198327 30.681693),1952390643,2.78573683965488E38,03/10/2022 12:00:00 AM
2022-03-16T18-51-35,36608,GACEK EAR AND SINUS CENTER,9,POINT (-88.13104 30.684685),1932449451,2.86082446245368E38,03/09/2022 12:00:00 AM
