provider_name,address1,address2,city,county,state_code,zip,national_drug_code,order_label,last_order_date,last_date_delivered,total_courses,courses_available,courses_available_date,geocoded_address,npi
CARRS PHARMACY,1501 HUFFMAN RD,,Anchorage,Anchorage,AK,99515,0069-1085-30,Paxlovid,2022-01-31T00:00:00.000,2022-02-02T00:00:00.000,40,29.0,2022-02-17T00:00:00.000,POINT (-149.854215 61.108684),1659300697.0
CARRS PHARMACY,2920 SEWARD HWY,,Anchorage,Anchorage,AK,99503,0069-1085-30,Paxlovid,2022-01-31T00:00:00.000,2022-02-02T00:00:00.000,40,19.0,2022-02-17T00:00:00.000,POINT (-149.8682 61.194155),1265084933.0
CARRS PHARMACY,4000 W DIMOND BLVD,,Anchorage,Anchorage,AK,99502,0069-1085-30,Paxlovid,2022-02-10T00:00:00.000,2022-02-14T00:00:00.000,20,,,POINT (-149.954561 61.137411),1740219781.0
"V20 463 Anchorage, AK",1201 N MULDOON RD,attn VA Pharmacy 119,Anchorage,Anchorage,AK,99504,0069-1085-30,Paxlovid,2022-01-18T00:00:00.000,2022-01-21T00:00:00.000,20,,,POINT (-149.733373 61.211187),
Walgreens Store #15654,2550 E 88TH AVE,,Anchorage,Anchorage,AK,99507,0069-1085-30,Paxlovid,2022-01-27T00:00:00.000,2022-02-01T00:00:00.000,80,31.0,2022-02-18T00:00:00.000,POINT (-149.835259 61.141134),1316366032.0
Walgreens Store #15362,12051 OLD GLENN HWY,,Eagle River,Anchorage,AK,99577,0069-1085-30,Paxlovid,2022-02-08T00:00:00.000,2022-02-10T00:00:00.000,20,0.0,2022-02-18T00:00:00.000,POINT (-149.568466 61.329179),1104166479.0
673 MDSS/SGSM,Attn: Medical Supply,5955 Zeamer Avenue,Jber,Anchorage,AK,99506,0069-1085-30,Paxlovid,2022-01-06T00:00:00.000,2022-01-13T00:00:00.000,20,,,,
CAMAI Comm Hlth CTR INC,2 School Road,,Naknek,Bristol Bay,AK,99633,0069-1085-30,Paxlovid,2022-01-25T00:00:00.000,2022-01-31T00:00:00.000,40,37.0,2022-02-17T00:00:00.000,,
354 MDG,2630 Central Ave,Ste 1M07,Eielson Afb,Fairbanks North Star,AK,99702,0069-1085-30,Paxlovid,2022-02-02T00:00:00.000,2022-02-07T00:00:00.000,20,,,POINT (-147.085746 64.673987),
SAFEWAY PHARMACY,3627 Airport Way STE 1,,Fairbanks,Fairbanks North Star,AK,99709,0069-1085-30,Paxlovid,2022-02-10T00:00:00.000,2022-02-14T00:00:00.000,40,12.0,2022-02-17T00:00:00.000,POINT (-147.81201 64.836503),1649209685.0
Walgreens Store #15944,530 OLD STEESE HWY,,Fairbanks,Fairbanks North Star,AK,99701,0069-1085-30,Paxlovid,2022-01-27T00:00:00.000,2022-02-01T00:00:00.000,20,20.0,2022-02-18T00:00:00.000,POINT (-147.697323 64.850131),1841688314.0
Bassett Army Community Hospital,Bldg 3567 Neely Rd.,,Fort Wainwright,Fairbanks North Star,AK,99703,0069-1085-30,Paxlovid,2022-01-06T00:00:00.000,2022-01-13T00:00:00.000,20,,,,
BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,Pharmacy,Juneau,Juneau,AK,99801,0069-1085-30,Paxlovid,2022-01-13T00:00:00.000,2022-01-20T00:00:00.000,20,17.0,2022-02-18T00:00:00.000,POINT (-134.465047 58.328624),1891849261.0
SAFEWAY PHARMACY,3033 Vintage Blvd.,,Juneau,Juneau,AK,99801,0069-1085-30,Paxlovid,2022-02-10T00:00:00.000,2022-02-15T00:00:00.000,40,31.0,2022-02-17T00:00:00.000,POINT (-134.597386 58.371733),1386673325.0
Soldotna Professional Pharmacy,299 N Binkley,,Soldotna,Kenai Peninsula,AK,99669,0069-1085-30,Paxlovid,2022-02-08T00:00:00.000,2022-02-11T00:00:00.000,40,20.0,2022-02-12T00:00:00.000,POINT (-151.07238 60.494654),1467564443.0
URGENT CARE OF SOLDOTNA,44604 STERLING HIGHWAY #D,,Soldotna,Kenai Peninsula,AK,99669,0069-1085-30,Paxlovid,2022-01-27T00:00:00.000,2022-02-02T00:00:00.000,20,6.0,2022-02-17T00:00:00.000,POINT (-151.075637 60.480014),1306484332.0
Walgreens Store #16059,44001 STERLING HWY,,Soldotna,Kenai Peninsula,AK,99669,0069-1085-30,Paxlovid,2022-02-08T00:00:00.000,2022-02-11T00:00:00.000,60,20.0,2022-02-18T00:00:00.000,POINT (-151.057448 60.486135),1992186746.0
KODIAK ISLAND AMBULATORY CARE CLINI,202 Center ave,Suite 102,Kodiak,Kodiak Island,AK,99615,0069-1085-30,Paxlovid,2022-02-08T00:00:00.000,2022-02-10T00:00:00.000,20,,,POINT (-152.406202 57.789107),1366596504.0
SAFEWAY PHARMACY,2685 MILL BAY ROAD,,Kodiak,Kodiak Island,AK,99615,0069-1085-30,Paxlovid,2022-01-15T00:00:00.000,2022-01-20T00:00:00.000,20,19.0,2022-02-17T00:00:00.000,POINT (-152.365147 57.809356),1568491504.0
URGENT CARE AT LAKE LUCILLE,185 East Parks Highway,,Wasilla,Matanuska Susitna,AK,99654,0069-1085-30,Paxlovid,2022-02-08T00:00:00.000,2022-02-10T00:00:00.000,40,30.0,2022-02-18T00:00:00.000,POINT (-149.447295 61.580957),1275587768.0
Walgreens Store #12681,1721 E PARKS HWY,,Wasilla,Matanuska Susitna,AK,99654,0069-1085-30,Paxlovid,2022-01-13T00:00:00.000,2022-01-17T00:00:00.000,40,1.0,2022-02-18T00:00:00.000,POINT (-149.407388 61.576459),1760616841.0
Norton Sound Hlth Corp Fam Med Clin,1000 Greg Kruschek Ave,,Nome,Nome,AK,99762,0069-1085-30,Paxlovid,2022-01-31T00:00:00.000,2022-02-10T00:00:00.000,20,20.0,2022-02-16T00:00:00.000,,
