Alaska RSSC,2000 E 88th Ave,,Anchorage,ANCHORAGE,AK,99507,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM,12/23/2021 12:00:00 AM
Alaska RSSC,2000 E 88th Ave,,Anchorage,ANCHORAGE,AK,99507,0310-7442-02,Evusheld,12/27/2021 12:00:00 AM,12/30/2021 12:00:00 AM
CHILDRENS OF ALABAMA,1600 7th Avenue South,,Birmingham,JEFFERSON,AL,35233,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM,12/24/2021 12:00:00 AM
UAB HOSPITAL,521 19TH ST SOUTH,GEN SVCS BLDG LOADING DOCK,BIRMINGHAM,JEFFERSON,AL,35249,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM,12/24/2021 12:00:00 AM
WHITFIELD REGIONAL HOSPITAL,105 US HIGHWAY 80 E,,DEMOPOLIS,MARENGO,AL,36732-3605,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM,12/26/2021 12:00:00 AM
ARKANSAS HEART HOSPITAL,1701 S SHACKELFORD RD,,LITTLE ROCK,PULASKI,AR,72211,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM,12/24/2021 12:00:00 AM
Baptist Health Medical Center - LR,9601 BAPTISIT HEALTH DR,,LITTLE ROCK,PULASKI,AR,72205,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM,12/24/2021 12:00:00 AM
HIGHLANDS ONCOLOGY- PARKWAY,3901 PARKWAY CIR,100,SPRINGDALE,WASHINGTON,AR,72762,0310-7442-02,Evusheld,12/22/2021 12:00:00 AM,12/25/2021 12:00:00 AM
NEA BAPTIST MEMORIAL HOSP PHARMACY,4800 E JOHNSON AVE,,JONESBORO,CRAIGHEAD,AR,72401,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM,12/24/2021 12:00:00 AM
ST. BERNARD MEDICAL CENTER,225 E WASHINGTON AVE,,JONESBORO,CRAIGHEAD,AR,72401,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM,12/24/2021 12:00:00 AM
WASHINGTON REGIONAL MED. CNTR.,3215 N NORTHHILLS BLVD,,FAYETTEVILLE,WASHINGTON,AR,72703,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM,12/24/2021 12:00:00 AM
CHANDLER REGIONAL MEDICAL CENTER,1955 W. Frye Road,,Chandler,MARICOPA,AZ,85224,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM,12/26/2021 12:00:00 AM
Chinle Comprehensive Healthcare,Hwy 191 and Hospital Road,,CHINLE,APACHE,AZ,86503,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM,12/23/2021 12:00:00 AM
KINGMAN REGIONAL MEDICAL CENTER,3269 N STOCKTON HILL RD,INPATIENT HOSPITAL,KINGMAN,MOHAVE,AZ,86409,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM,12/26/2021 12:00:00 AM
MAYO CLINIC PHOENIX,13400 E Shea Blvd,ATTN: PHARMACY SUITE 1-136E,SCOTTSDALE,MARICOPA,AZ,85259,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM,12/26/2021 12:00:00 AM
Osborn Infusion,7400 E Osborn Rd,,Scottsdale,MARICOPA,AZ,85251,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM,12/26/2021 12:00:00 AM
Phoenix Indian Medical Center,4212 N. 16th Street,,Phoenix,MARICOPA,AZ,85016,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM,12/23/2021 12:00:00 AM
Phoenix Indian Medical Center,4212 N. 16th Street,,Phoenix,MARICOPA,AZ,85016,0310-7442-02,Evusheld,12/28/2021 12:00:00 AM,12/31/2021 12:00:00 AM
SOUTHWELLNESS MEDICAL,10599 N TATUM BLVD,SUITE F151,PARADISE VALLEY,MARICOPA,AZ,85253,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM,12/26/2021 12:00:00 AM
