provider_name,address1,address2,city,county,state_code,zip,national_drug_code,order_label,last_order_date,last_date_delivered,total_courses,courses_available,courses_available_date,geocoded_address,npi
BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,Pharmacy,Juneau,Juneau,AK,99801,0310-7442-02,Evusheld,2022-01-27T00:00:00.000,2022-01-21T00:00:00.000,72,72.0,2022-02-02T00:00:00.000,POINT (-134.465047 58.328624),1891849261.0
Southern Cancer Center,29653 ANCHOR CROSS BLVD,,Daphne,Baldwin,AL,36526-9594,0310-7442-02,Evusheld,2021-12-30T00:00:00.000,2022-01-11T00:00:00.000,24,20.0,2022-02-04T00:00:00.000,POINT (-87.866268 30.657051),1942391784.0
ALABAMA ONCOLOGY BROOKWOOD,2022 BROOKWOOD MEDICAL CTR DR,STE 628,Birmingham,Jefferson,AL,35209-6889,0310-7442-02,Evusheld,2022-02-01T00:00:00.000,,48,,,POINT (-86.77556 33.46349),1588774624.0
"V07 521 Birmingham, AL",700 S 19TH STREET,,Birmingham,Jefferson,AL,35233,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,2022-01-13T00:00:00.000,24,,,POINT (-86.800882 33.504615),
Amber Specialty Pharmacy,2100 Riverchase Center,Suite 400,Hoover,Jefferson,AL,35244,0310-7442-02,Evusheld,2022-01-04T00:00:00.000,2022-01-12T00:00:00.000,48,41.0,2022-02-03T00:00:00.000,POINT (-86.786134 33.365751),1518584697.0
"Allergy, Asthma, and Imm of East AL","1925 East Glenn Ave, Suite 101",,Auburn,Lee,AL,36830,0310-7442-02,Evusheld,2022-01-24T00:00:00.000,2022-01-26T00:00:00.000,72,,,POINT (-85.439972 32.605612),
"East Alabama Apothecary, LLC","2000 Pepperell Parkway, Suite 292",,Opelika,Lee,AL,36801,0310-7442-02,Evusheld,2022-02-01T00:00:00.000,,24,,,POINT (-85.404324 32.638032),1215089305.0
CRESTWOOD MEDICAL CENTER,1 HOSPITAL DR SW,,Huntsville,Madison,AL,35801-6455,0310-7442-02,Evusheld,2022-01-10T00:00:00.000,2022-01-21T00:00:00.000,48,94.0,2022-02-03T00:00:00.000,POINT (-86.572527 34.692379),1023061496.0
WHITFIELD REGIONAL HOSPITAL,105 US HIGHWAY 80 E,,Demopolis,Marengo,AL,36732-3605,0310-7442-02,Evusheld,2022-01-24T00:00:00.000,2022-01-26T00:00:00.000,72,12.0,2022-01-14T00:00:00.000,POINT (-87.836677 32.503688),
"V07 619 Montgomery, AL",215 PERRY HILL RD,,Montgomery,Montgomery,AL,36109,0310-7442-02,Evusheld,2022-01-03T00:00:00.000,2022-01-11T00:00:00.000,24,,,POINT (-86.246393 32.378893),
COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,,Sylacauga,Talladega,AL,35150-2913,0310-7442-02,Evusheld,2022-01-05T00:00:00.000,2022-01-13T00:00:00.000,24,,,POINT (-86.254598 33.164666),1972527265.0
RUSSELL MEDICAL CENTER,3316 Highway 280,,Alexander City,Tallapoosa,AL,35010,0310-7442-02,Evusheld,2022-01-10T00:00:00.000,2022-01-18T00:00:00.000,120,94.0,2022-02-02T00:00:00.000,POINT (-85.968394 32.93103),1881849024.0
"Senior Care Pharmacy, Inc.",4373 Northcreek Blvd,,Northport,Tuscaloosa,AL,35473,0310-7442-02,Evusheld,2022-01-03T00:00:00.000,2022-01-11T00:00:00.000,24,24.0,2022-01-24T00:00:00.000,POINT (-87.596099 33.27226),1346239795.0
LAKELAND COMMUNITY HOSPITAL,42024 Hwy 195 East,,Haleyville,Winston,AL,35565,0310-7442-02,Evusheld,2022-01-05T00:00:00.000,2022-01-13T00:00:00.000,24,23.0,2022-02-02T00:00:00.000,POINT (-87.589857 34.241718),1275600967.0
ASHLEY COUNTY MED CENTER,1015 UNITY RD,,Crossett,Ashley,AR,71635,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,2022-01-14T00:00:00.000,24,23.0,2022-02-03T00:00:00.000,POINT (-91.939011 33.137339),
Baxter Regional Medical Center,624 Hospital Drive,,Mountain Home,Baxter,AR,72653,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,2022-01-13T00:00:00.000,24,22.0,2022-02-02T00:00:00.000,POINT (-92.395905 36.343067),1164770293.0
NORTH ARKANSAS MEDICAL CENTER,620 N MAIN ST,,Harrison,Boone,AR,72601,0310-7442-02,Evusheld,2022-01-27T00:00:00.000,,24,24.0,2022-02-04T00:00:00.000,POINT (-93.107153 36.236124),1275523912.0
NEA BAPTIST MEMORIAL HOSP PHARMACY,4800 E JOHNSON AVE,,Jonesboro,Craighead,AR,72401,0310-7442-02,Evusheld,2022-02-02T00:00:00.000,2022-01-19T00:00:00.000,192,164.0,2022-02-04T00:00:00.000,POINT (-90.635674 35.864196),
ST. BERNARD MEDICAL CENTER,225 E WASHINGTON AVE,,Jonesboro,Craighead,AR,72401,0310-7442-02,Evusheld,2022-01-27T00:00:00.000,2022-01-19T00:00:00.000,216,114.0,2022-02-03T00:00:00.000,POINT (-90.703102 35.838397),
FOUNTAIN LAKE FAMILY MEDICINE,4517 PARK AVE,,Hot Springs,Garland,AR,71901,0310-7442-02,Evusheld,2022-02-02T00:00:00.000,,24,,,POINT (-92.983934 34.576689),1316279375.0
HAMILTON WEST FAMILY MEDICINE,1629 AIRPORT RD,STE B,Hot Springs National Park,Garland,AR,71913,0310-7442-02,Evusheld,2022-02-02T00:00:00.000,,24,,,POINT (-93.14102 34.467447),1821176934.0
Bryants Pharmacy,2000 HARRISON ST,SUITE A,Batesville,Independence,AR,72501,0310-7442-02,Evusheld,2022-01-27T00:00:00.000,2022-02-02T00:00:00.000,24,24.0,2022-02-03T00:00:00.000,POINT (-91.6311 35.769537),
WHITE RIVER MED CENTER,1710 HARRISON ST,,Batesville,Independence,AR,72501,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,2022-01-13T00:00:00.000,24,23.0,2022-02-02T00:00:00.000,POINT (-91.634368 35.769566),
DOCTORS ORDERS PHARMACY #2,2302 W 28TH AVE,Suite B,Pine Bluff,Jefferson,AR,71603,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,2022-01-13T00:00:00.000,24,24.0,2022-02-03T00:00:00.000,POINT (-92.026468 34.201824),
EXPRESS RX - PARIS,508 E WALNUT ST,,Paris,Logan,AR,72855,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,2022-01-13T00:00:00.000,24,24.0,2022-01-19T00:00:00.000,POINT (-93.72501 35.29204),
GLENWOOD FAMILY MEDICINE,248 US -70 East,,Glenwood,Pike,AR,71943,0310-7442-02,Evusheld,2022-02-02T00:00:00.000,,24,,,POINT (-93.534275 34.328645),1740368877.0
FIRST CARE FAMILY MEDICINE MENA,1706 N U.S. 71,,Mena,Polk,AR,71953,0310-7442-02,Evusheld,2022-02-02T00:00:00.000,,24,,,POINT (-94.251291 34.570331),1619410040.0
ARKANSAS HEART HOSPITAL,1701 S SHACKELFORD RD,,Little Rock,Pulaski,AR,72211,0310-7442-02,Evusheld,2022-01-27T00:00:00.000,2022-01-20T00:00:00.000,120,119.0,2022-02-01T00:00:00.000,POINT (-92.394431 34.73916),
Baptist Health Medical Center - LR,9601 BAPTISIT HEALTH DR,,Little Rock,Pulaski,AR,72205,0310-7442-02,Evusheld,2022-01-27T00:00:00.000,2022-01-19T00:00:00.000,288,263.0,2022-02-04T00:00:00.000,POINT (-92.3813 34.745758),
CARTI CANCER CENTER,8901 CARTI Way,,Little Rock,Pulaski,AR,72205,0310-7442-02,Evusheld,2022-01-27T00:00:00.000,2022-02-01T00:00:00.000,144,131.0,2022-02-02T00:00:00.000,POINT (-92.3678 34.743601),
CHI ST. VINCENT INFIRMARY,2 ST. VINCENT CIR,UNIT ATTN. PHARMACY,Little Rock,Pulaski,AR,72205,0310-7442-02,Evusheld,2022-01-13T00:00:00.000,2022-01-19T00:00:00.000,192,120.0,2022-02-01T00:00:00.000,POINT (-92.338251 34.750183),
UAMS,4301 W. Markham St. Slot 571,"Pharmacy Stores Stockroom, G1030",Little Rock,Pulaski,AR,72205,0310-7442-02,Evusheld,2022-01-27T00:00:00.000,2022-01-19T00:00:00.000,408,207.0,2022-02-03T00:00:00.000,POINT (-92.321037 34.751585),1477549756.0
