healthDept_site,state_site,state,state_code,healthDept_twitter,healthDept_email,healthDept_phone,healthDept_search,covid_site,mabInfoLink,mabInfoUrl
dhss.alaska.gov,alaska.gov,Alaska,AK,Alaska_DHSS,,,dhss.alaska.gov/pages/search.aspx?q=KEYWORD,,Outpatient Treatment,dhss.alaska.gov/dph/epi/id/pages/covid-19/outpatienttreatment.aspx
alabamapublichealth.gov,alabama.gov,Alabama,AL,ALPublicHealth,,,www.alabamapublichealth.gov/search/index.html?query=KEYWORD,,Prevention and Treatment,www.alabamapublichealth.gov/covid19/prevention.html
americansamoa.gov/departments,,American Samoa,AS,,,,,,,
azdhs.gov,az.gov,Arizona,AZ,azdhs,,,azdhs.gov/search/index.php?q=KEYWORD,,,
healthy.arkansas.gov,arkansas.gov,Arkansas,AR,adhpio,,,,,Therapeutic Locations,www.healthy.arkansas.gov/programs-services/topics/covid-19-guidance-on-therapeutics
cdph.ca.gov,ca.gov,California,CA,CAPublicHealth,,,www.cdph.ca.gov/Pages/results.aspx?k=#k=KEYWORD,www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/ncov2019.aspx,,
cdphe.colorado.gov,colorado.gov,Colorado,CO,CDPHE,,,covid19.colorado.gov/search?search=KEYWORD,covid19.colorado.gov/,Getting Treatment,covid19.colorado.gov/getting-covid-19-treatment
ct.gov/dph,ct.gov,Connecticut,CT,ctdph,,,portal.ct.gov/DPH/Search-Results?SearchKeyword=KEYWORD,,Therapeutics,portal.ct.gov/DPH/Public-Health-Preparedness/DPH-COVID-19-Specific-Resources/COVID-19-Therapeutics
dhss.delaware.gov,delaware.gov,Delaware,DE,Delaware_DHSS,,,dhss.delaware.gov/dhss/search.html?query=KEYWORD,,,
doh.dc.gov,dc.gov,District of Columbia,DC,_DCHealth,doh@dc.gov,202-442-5955,,coronavirus.dc.gov/,,
floridahealth.gov,myflorida.com,Florida,FL,HealthyFla,,850-245-4444,www.floridahealth.gov/search/search.cgi?zoom_query=KEYWORD&zoom_cat%5B%5D=0,,Treatment Locator,floridahealthcovid19.gov/treatments/treatmentlocator/?utm_source=floridahealth.gov&utm_medium=referral&utm_campaign=covid-19&utm_term=monoclonal+antibody+therapy+treatments+available+florida+2021&utm_content=trending_topics
dph.georgia.gov,georgia.gov,Georgia,GA,GaDPH,,404-657-2700,dph.georgia.gov/search?search=KEYWORD&sm_site_name=dph,,Available Treatments,dph.georgia.gov/dph-covid-19-guidance
dphss.guam.gov,guam.gov,Guam,GU,GuamDPHSS,,,,dphss.guam.gov/covid-19,,
health.hawaii.gov,hawaii.gov,Hawaii,HI,HawaiiDOH,,,,hawaiicovid19.com,,
healthandwelfare.idaho.gov,idaho.gov,Idaho,ID,IDHW,,,healthandwelfare.idaho.gov/search?k=KEYWORD,,,
dph.illinois.gov,illinois.gov,Illinois,IL,IDPH,,,dph.illinois.gov/search.html?q=KEYWORD&contentType=everything,dph.illinois.gov/covid19.html,Therapy Locator,dph.illinois.gov/covid19/covid-19-outpatient-therapy-locator.html
in.gov/health,in.gov,Indiana,IN,StateHealthIN,,,www.in.gov/health/search-results/?profile=isdh&query=KEYWORD&collection=agencies1,www.coronavirus.in.gov/,,
idph.iowa.gov,iowa.gov,Iowa,IA,IAPublicHealth,,,www.iowa.gov/search/google?ia_slv=1642901735782#gsc.tab=0&gsc.q=KEYWORD&gsc.sort=,idph.iowa.gov/Emerging-Health-Issues/Novel-Coronavirus,,
kdheks.gov,kansas.gov,Kansas,KS,KDHE,,,www.kdhe.ks.gov/Search?searchPhrase=KEYWORD,,,
chfs.ky.gov,ky.gov,Kentucky,KY,chfsky,,,chfs.ky.gov/pages/search.aspx?affiliateId=CHFS&terms=KEYWORD,govstatus.egov.com/kycovid19,,
ldh.la.gov,louisiana.gov,Louisiana,LA,LADeptHealth,,,cse.google.com/cse?cx=005152534869167781137%3Aa06uf5rkrww&ie=UTF-8&q=KEYWORD,ldh.la.gov/coronavirus,Therapeutics Locations,ldh.la.gov/page/monoclonal-antibodies
maine.gov/dhhs,maine.gov,Maine,ME,MEPublicHealth,,,www.maine.gov/search?searchquery=KEYWORD&as_sitesearch=https%3A%2F%2Fwww.maine.gov%2Fdhhs%2F&site=test_collection&output=xml_no_dtd&client=test_collection&proxystylesheet=test_collection,www.maine.gov/covid19,,
health.maryland.gov,maryland.gov,Maryland,MD,MDHealthDept,,,health.maryland.gov/search/Pages/Pages.aspx?k=KEYWORD&u=health.maryland.gov,covidlink.maryland.gov/content/,Treatment Options,covidlink.maryland.gov/content/testing/treatment-options/
mass.gov/dph,mass.gov,Massachusetts,MA,MassDPH,,,search.mass.gov/?q=KEYWORD,www.mass.gov/coronavirus-disease-2019-covid-19,Therapeutic Treatments,www.mass.gov/info-details/therapeutic-treatments-for-covid-19
michigan.gov/mdhhs,michigan.gov,Michigan,MI,MichiganHHS,,,search.michigan.gov/AppBuilder/search?ctx=MDHHS&q=KEYWORD,www.michigan.gov/coronavirus,,
health.state.mn.us,mn.gov,Minnesota,MN,MNHealth,,,mn.gov/mdh/search/?query=KEYWORD,www.health.state.mn.us/diseases/coronavirus/index.html,Therapeutics,www.health.state.mn.us/diseases/coronavirus/hcp/therapeutic.html
msdh.ms.gov,ms.gov,Mississippi,MS,msdh,,,msdh.ms.gov/msdhsite/search/index.cfm?criteria=KEYWORD,www.coronavirus.ms.gov/,Treatments,msdh.ms.gov/msdhsite/_static/14%2C23537%2C420%2C878.html
health.mo.gov,mo.gov,Missouri,MO,HealthyLivingMo,,,health.mo.gov/results.php?q=KEYWORD,,Therapeutics,health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/covid-therapeutics.php
dphhs.mt.gov,mt.gov,Montana,MT,DPHHSMT,,,dphhs.mt.gov/search?q=KEYWORD,dphhs.mt.gov/publichealth/cdepi/diseases/CoronavirusMT/index,Therapeutics,dphhs.mt.gov/publichealth/cdepi/diseases/CoronavirusMT/monoclonalantibody
dhhs.ne.gov,ne.gov,Nebraska,NE,NEDHHS,,,dhhs.ne.gov/_layouts/15/osssearchresults.aspx?u=https%3A%2F%2Fdhhs%2Ene%2Egov&k=KEYWORD,dhhs.ne.gov/Pages/Coronavirus.aspx,,
dhhs.nv.gov,nv.gov,Nevada,NV,DhhsNevada,,,,,,
dhhs.nh.gov,nh.gov,New Hampshire,NH,nhdhhspio,,,www.covid19.nh.gov/search?keys=KEYWORD,www.covid19.nh.gov/,Therapeutics,www.covid19.nh.gov/resources/covid-19-treatment-resources
nj.gov/health,nj.gov,New Jersey,NJ,NJDeptofHealth,,,nj.gov/search/?qt=KEYWORD,,Therapeutics,www.state.nj.us/health/cd/topics/covid2019_community.shtml?_gl=1*1ippqm2*_ga*MTM1NDI3Nzk1Ny4xNjQyOTAyNjcy*_ga_5PWJJG6642*MTY0MzU4NDMzMy4yLjAuMTY0MzU4NDMzMy4w#3
nmhealth.org,newmexico.gov,New Mexico,NM,nmdoh,,,www.nmhealth.org/search/?keyword=KEYWORD&search=search,cv.nmhealth.org/,Therapeutics,cv.nmhealth.org/covid-19-monoclonal-antibody-patient-treatment-info/
health.ny.gov,ny.gov,New York,NY,healthnygov,,,search.health.ny.gov/search?q=KEYWORD&btnG=Search&site=doh_collection&client=default_frontend&proxystylesheet=default_frontend&output=xml_no_dtd,coronavirus.health.ny.gov/home,Therapeutics,coronavirus.health.ny.gov/monoclonal-antibody-therapeutics
ncdhhs.gov,nc.gov,North Carolina,NC,ncdhhs,,,www.ncdhhs.gov/search/cse?keys=KEYWORD#gsc.tab=0&gsc.q=KEYWORD&gsc.sort=,covid19.ncdhhs.gov/,Treatments,covid19.ncdhhs.gov/treatment
health.nd.gov,nd.gov,North Dakota,ND,nddoh,,,www.health.nd.gov/search?query=KEYWORD,,Treatments,www.health.nd.gov/covidtreatment
chcc.gov.mp,,Northern Mariana Islands,CM,cnmichcc,,,,,,
odh.ohio.gov,ohio.gov,Ohio,OH,OHdeptofhealth,,,odh.ohio.gov/wps/portal/gov/odh/search/?search_query=KEYWORD,,,
ok.gov/health,ok.gov,Oklahoma,OK,HealthyOklahoma,,,oklahoma.gov/health/search.html?q=KEYWORD,oklahoma.gov/covid19.html,,
public.health.oregon.gov,oregon.gov,Oregon,OR,OHAOregon,,,www.oregon.gov/oha/Pages/search-results.aspx?q=KEYWORD,govstatus.egov.com/OR-OHA-COVID-19,Monoclonal Antibody Treatments,www.oregon.gov/oha/covid19/Pages/monoclonal-antibody-therapy.aspx
health.pa.gov,pa.gov,Pennsylvania,PA,PAHealthDept,,,,www.health.pa.gov/topics/disease/coronavirus/Pages/Coronavirus.aspx,Prevention & Treatment,www.health.pa.gov/topics/disease/coronavirus/Pages/Prevention-Treatment.aspx
salud.gov.pr,gov.pr,Puerto Rico,PR,desaludpr,,,www.salud.gov.pr/CMS/8?TXTsearch=KEYWORD,www.salud.gov.pr/CMS/142,Monoclonal Antibodies,www.salud.gov.pr/CMS/220
health.ri.gov,ri.gov,Rhode Island,RI,rihealth,,,www.ri.gov/search/result.php?q=KEYWORD,covid.ri.gov/,Treatments,covid.ri.gov/covid-19-prevention/treatment
scdhec.gov,sc.gov,South Carolina,SC,scdhec,,,scdhec.gov/search?keywords=KEYWORD,scdhec.gov/covid19,Monoclonal Antibody,scdhec.gov/covid19/monoclonal-antibodies
doh.sd.gov,sd.gov,South Dakota,SD,SDDOH,,,cse.google.com/cse?cx=012382400048732927914%3Av2d9d_dbrdw&q=KEYWORD&sa=&siteurl=doh.sd.gov,doh.sd.gov/COVID/,Treatments & Therapeutics,doh.sd.gov/COVID/YourHealth.aspx
tn.gov/health.html,tn.gov,Tennessee,TN,TNDeptofHealth,,,www.tn.gov/health/search-results.html?q=KEYWORD,covid19.tn.gov/,,
dshs.state.tx.us,texas.gov,Texas,TX,TexasDSHS,,,dshs.state.tx.us/Search/?q=KEYWORD,dshs.state.tx.us/coronavirus/,Therapeutics Locator,tdem.maps.arcgis.com/apps/webappviewer/index.html?id=993e2c2079f8487cafcec74e00e84991&fbclid=IwAR3thAzVNA74YljG1Gfwh3Ayvi_8VDP-m2HtV21feQSNt5MHXWbogsi5k_k
doh.vi.gov,vi.gov,U.S. Virgin Islands,VI,USVIDOH,,,doh.vi.gov/search/node/KEYWORD,www.covid19usvi.com/,,
health.utah.gov,utah.gov,Utah,UT,UtahDepOfHealth,,,health.utah.gov/?s=KEYWORD,coronavirus.utah.gov/,Monoclonal Antibodies,coronavirus.utah.gov/noveltherapeutics/
healthvermont.gov,vermont.gov,Vermont,VT,HealthVermont,,,www.healthvermont.gov/search/site/KEYWORD,www.healthvermont.gov/covid-19,Treatments,www.healthvermont.gov/covid-19/symptoms-sickness/treatment-covid-19
vdh.virginia.gov,virginia.gov,Virginia,VA,VDHgov,,,www.vdh.virginia.gov/?s=KEYWORD,www.vdh.virginia.gov/coronavirus/,Therapeutics,www.vdh.virginia.gov/coronavirus/get-the-latest-guidance/health-professionals/therapeutics/
doh.wa.gov,wa.gov,Washington,WA,WADeptHealth,,,www.doh.wa.gov/SearchResults?q=KEYWORD,www.doh.wa.gov/Emergencies/COVID19,Therapeutics,www.doh.wa.gov/Emergencies/COVID19/Therapeutics
dhhr.wv.gov,wv.gov,West Virginia,WV,WV_DHHR,,,dhhr.wv.gov/Pages/Search.aspx?q=KEYWORD,dhhr.wv.gov/COVID-19/Pages/generalinfo.aspx,,
dhs.wisconsin.gov,wisconsin.gov,Wisconsin,WI,DHSWI,,,www.dhs.wisconsin.gov/search?search=KEYWORD,www.dhs.wisconsin.gov/covid-19,Treatments,www.dhs.wisconsin.gov/covid-19/treatments.htm
health.wyo.gov,wyo.gov,Wyoming,WY,health_wyoming,,,health.wyo.gov/?s=KEYWORD,health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/,Treatments,www.cdc.gov/coronavirus/2019-ncov/your-health/treatments-for-severe-illness.html
